Cities,City name,Geography,Geography,Views,Watch time (hours),Average view duration
Total,,,,26625,2157.3497,0:04:51
0x164b85cef5ab402d:0x8467b6b037a24d49,Addis Ababa,ET,ET-AA,1252,127.5042,0:06:06
0x487a4d4c5226f5db:0xd9be143804fe6baa,Manchester,GB,GB-ENG,23,0.0402,0:00:06
0x3568eb6de823cd35:0x35d8cb74247108a7,Busan,KR,KR-26,14,0.0354,0:00:09
0x168e8fde9837cabf:0x191f55de7e67db40,Khartoum,SD,SD-KH,12,1.2627,0:06:18
0x3397ba0942ef7375:0x4a9a32d9fe083d40,Quezon City,PH,PH-00,11,0.0615,0:00:20
0x3ae253d10f7a7003:0x320b2e4d32d3838d,Colombo,LK,LK-1,11,0.0363,0:00:11
0x102354e509f894f7:0xc8fde921f89849f6,Cotonou,BJ,BJ-LI,10,1.1665,0:06:59
0x399bfd991f32b16b:0x93ccba8909978be7,Lucknow,IN,IN-UP,10,0.029,0:00:10
